Sl. No.,State/UT,Cases Reported - 2018,Cases Reported - 2019,Cases Reported - 2020,Cases Reported - 2021,Cases Reported - 2022
1,Andhra Pradesh,240,245,171,168,163
2,Arunachal Pradesh,3,0,2,3,4
3,Assam,308,201,124,203,140
4,Bihar,127,106,75,111,260
5,Chhattisgarh,51,50,38,29,26
6,Goa,55,38,17,15,1
7,Gujarat,13,11,13,13,9
8,Haryana,34,15,14,37,13
9,Himachal Pradesh,6,11,4,5,5
10,Jharkhand,140,177,140,92,100
11,Karnataka,27,32,13,13,18
12,Kerala,105,180,166,201,135
13,Madhya Pradesh,63,73,80,89,81
14,Maharashtra,311,282,184,320,295
15,Manipur,3,9,6,1,0
16,Meghalaya,24,22,1,1,2
17,Mizoram,2,7,0,0,0
18,Nagaland,0,3,0,0,0
19,Odisha,75,147,103,136,121
20,Punjab,17,19,17,15,21
21,Rajasthan,86,141,128,100,117
22,Sikkim,1,0,1,0,0
23,Tamil Nadu,8,16,11,3,1
24,Telangana,242,137,184,347,391
25,Tripura,2,1,1,1,0
26,Uttar Pradesh,35,48,90,103,126
27,Uttarakhand,29,20,9,16,16
28,West Bengal,172,120,59,61,67
29,Andaman and Nicobar Islands,0,0,0,0,0
30,Chandigarh,0,2,2,2,1
31,Dadra and Nagar Haveli and Daman and Diu,0,0,2,0,0
32,Delhi UT,98,93,53,92,106
33,Jammu and Kashmir,1,0,2,4,8
34,Ladakh,NA,NA,0,0,0
35,Lakshadweep,0,0,0,0,0
36,Puducherry,0,2,4,8,23
Total All-India,Total All-India,2278,2208,1714,2189,2250
